full_name,email,country,political_group,national_party,id,profile_url
Kinga GÁL,kinga.gal@europarl.europa.eu,HUN,PfE,NI,28150,https://www.europarl.europa.eu/meps/en/28150
Sergio BERLATO,sergio.berlato@europarl.europa.eu,ITA,ECR,org/6831,4746,https://www.europarl.europa.eu/meps/en/4746
Ivaylo VALCHEV,ivaylo.valchev@europarl.europa.eu,BGR,ECR,org/6931,257258,https://www.europarl.europa.eu/meps/en/257258
João OLIVEIRA,joao.oliveira@europarl.europa.eu,PRT,The Left,org/6817,257083,https://www.europarl.europa.eu/meps/en/257083
Hanna GEDIN,hanna.gedin@europarl.europa.eu,SWE,The Left,org/6718,257092,https://www.europarl.europa.eu/meps/en/257092
Bogdan RZOŃCA,bogdan.rzonca@europarl.europa.eu,POL,ECR,org/6702,197545,https://www.europarl.europa.eu/meps/en/197545
Ville NIINISTÖ,ville.niinisto@europarl.europa.eu,FIN,Greens/EFA,org/6671,197802,https://www.europarl.europa.eu/meps/en/197802
Hannah NEUMANN,hannah.neumann@europarl.europa.eu,DEU,Greens/EFA,org/6773,197464,https://www.europarl.europa.eu/meps/en/197464
Matjaž NEMEC,matjaz.nemec@europarl.europa.eu,SVN,S&D,org/6721,233862,https://www.europarl.europa.eu/meps/en/233862
Younous OMARJEE,younous.omarjee@europarl.europa.eu,FRA,The Left,org/6878,30482,https://www.europarl.europa.eu/meps/en/30482
Giorgio GORI,giorgio.gori@europarl.europa.eu,ITA,S&D,org/6675,257102,https://www.europarl.europa.eu/meps/en/257102
Auke ZIJLSTRA,auke.zijlstra@europarl.europa.eu,NLD,PfE,org/6696,103246,https://www.europarl.europa.eu/meps/en/103246
Ľuboš BLAHA,lubos.blaha@europarl.europa.eu,SVK,NI,org/6723,257005,https://www.europarl.europa.eu/meps/en/257005
Valentina PALMISANO,valentina.palmisano@europarl.europa.eu,ITA,The Left,org/6674,257135,https://www.europarl.europa.eu/meps/en/257135
Şerban Dimitrie STURDZA,serban.dimitrie.sturdza@europarl.europa.eu,ROU,ECR,org/7962,257119,https://www.europarl.europa.eu/meps/en/257119
Marie DAUCHY,marie.dauchy@europarl.europa.eu,FRA,PfE,org/6848,236050,https://www.europarl.europa.eu/meps/en/236050
Christophe GOMART,christophe.gomart@europarl.europa.eu,FRA,EPP,org/6827,256919,https://www.europarl.europa.eu/meps/en/256919
Irene TINAGLI,irene.tinagli@europarl.europa.eu,ITA,S&D,org/6675,197591,https://www.europarl.europa.eu/meps/en/197591
Juan Fernando LÓPEZ AGUILAR,juanfernando.lopezaguilar@europarl.europa.eu,ESP,S&D,org/6667,96812,https://www.europarl.europa.eu/meps/en/96812
Konstantinos ARVANITIS,konstantinos.arvanitis@europarl.europa.eu,GRC,The Left,org/6731,197701,https://www.europarl.europa.eu/meps/en/197701
Mary KHAN,mary.khan@europarl.europa.eu,DEU,ESN,org/6802,256957,https://www.europarl.europa.eu/meps/en/256957
Kris VAN DIJCK,kris.vandijck@europarl.europa.eu,BEL,ECR,org/6754,256884,https://www.europarl.europa.eu/meps/en/256884
Martin HÄUSLING,martin.haeusling@europarl.europa.eu,DEU,Greens/EFA,org/6773,96752,https://www.europarl.europa.eu/meps/en/96752
Ana VASCONCELOS,ana.vasconcelos@europarl.europa.eu,PRT,Renew,org/6641,257061,https://www.europarl.europa.eu/meps/en/257061
Barry COWEN,barry.cowen@europarl.europa.eu,IRL,Renew,org/6741,257297,https://www.europarl.europa.eu/meps/en/257297
Petra STEGER,petra.steger@europarl.europa.eu,AUT,PfE,org/6747,220897,https://www.europarl.europa.eu/meps/en/220897
Alexandra MEHNERT,alexandra.mehnert@europarl.europa.eu,DEU,EPP,org/6771,256980,https://www.europarl.europa.eu/meps/en/256980
Christophe BAY,christophe.bay@europarl.europa.eu,FRA,PfE,org/6848,261797,https://www.europarl.europa.eu/meps/en/261797
Maria WALSH,maria.walsh@europarl.europa.eu,IRL,EPP,org/6742,197863,https://www.europarl.europa.eu/meps/en/197863
Inese VAIDERE,inese.vaidere@europarl.europa.eu,LVA,EPP,org/6649,28617,https://www.europarl.europa.eu/meps/en/28617
Vangelis MEIMARAKIS,evangelos.meimarakis@europarl.europa.eu,GRC,EPP,org/6730,197662,https://www.europarl.europa.eu/meps/en/197662
René REPASI,rene.repasi@europarl.europa.eu,DEU,S&D,org/6772,229839,https://www.europarl.europa.eu/meps/en/229839
Raquel GARCÍA HERMIDA-VAN DER WALLE,raquel.garciahermida-vanderwalle@europarl.europa.eu,NLD,Renew,org/6693,256970,https://www.europarl.europa.eu/meps/en/256970
Dominik TARCZYŃSKI,dominik.tarczynski@europarl.europa.eu,POL,ECR,org/6702,204346,https://www.europarl.europa.eu/meps/en/204346
Salvatore DE MEO,salvatore.demeo@europarl.europa.eu,ITA,EPP,org/6744,204333,https://www.europarl.europa.eu/meps/en/204333
Sabine VERHEYEN,sabine.verheyen@europarl.europa.eu,DEU,EPP,org/6771,96756,https://www.europarl.europa.eu/meps/en/96756
Cristina GUARDA,cristina.guarda@europarl.europa.eu,ITA,Greens/EFA,org/6896,257130,https://www.europarl.europa.eu/meps/en/257130
Elena KOUNTOURA,elena.kountoura@europarl.europa.eu,GRC,The Left,org/6731,197699,https://www.europarl.europa.eu/meps/en/197699
Christophe CLERGEAU,christophe.clergeau@europarl.europa.eu,FRA,S&D,org/6728,245018,https://www.europarl.europa.eu/meps/en/245018
Lara MAGONI,lara.magoni@europarl.europa.eu,ITA,ECR,org/6831,257149,https://www.europarl.europa.eu/meps/en/257149
Nikolas FARANTOURIS,nikolaos.farantouris@europarl.europa.eu,GRC,The Left,org/6731,256823,https://www.europarl.europa.eu/meps/en/256823
Isilda GOMES,isilda.gomes@europarl.europa.eu,PRT,S&D,org/6706,257075,https://www.europarl.europa.eu/meps/en/257075
Axel VOSS,axel.voss@europarl.europa.eu,DEU,EPP,org/6771,96761,https://www.europarl.europa.eu/meps/en/96761
Sigrid FRIIS,sigrid.friis@europarl.europa.eu,DNK,Renew,org/6778,257038,https://www.europarl.europa.eu/meps/en/257038
Siegbert Frank DROESE,siegbert.droese@europarl.europa.eu,DEU,ESN,org/6802,256949,https://www.europarl.europa.eu/meps/en/256949
Giuseppe ANTOCI,giuseppe.antoci@europarl.europa.eu,ITA,The Left,org/6674,257138,https://www.europarl.europa.eu/meps/en/257138
Liesbet SOMMEN,liesbet.sommen@europarl.europa.eu,BEL,EPP,org/6755,256889,https://www.europarl.europa.eu/meps/en/256889
Cecilia STRADA,cecilia.strada@europarl.europa.eu,ITA,S&D,org/6675,257101,https://www.europarl.europa.eu/meps/en/257101
Elena DONAZZAN,elena.donazzan@europarl.europa.eu,ITA,ECR,org/6831,257095,https://www.europarl.europa.eu/meps/en/257095
Katrin LANGENSIEPEN,katrin.langensiepen@europarl.europa.eu,DEU,Greens/EFA,org/6773,197461,https://www.europarl.europa.eu/meps/en/197461
Monika HOHLMEIER,monika.hohlmeier@europarl.europa.eu,DEU,EPP,org/6776,96780,https://www.europarl.europa.eu/meps/en/96780
Ioan-Rareş BOGDAN,ioan-rares.bogdan@europarl.europa.eu,ROU,EPP,org/6709,197636,https://www.europarl.europa.eu/meps/en/197636
Sakis ARNAOUTOGLOU,sakis.arnaoutoglou@europarl.europa.eu,GRC,S&D,org/6876,256829,https://www.europarl.europa.eu/meps/en/256829
Péter MAGYAR,peter.magyar@europarl.europa.eu,HUN,EPP,org/6847,256868,https://www.europarl.europa.eu/meps/en/256868
Lukas MANDL,lukas.mandl@europarl.europa.eu,AUT,EPP,org/6745,190713,https://www.europarl.europa.eu/meps/en/190713
Jussi SARAMO,jussi.saramo@europarl.europa.eu,FIN,The Left,org/6795,127766,https://www.europarl.europa.eu/meps/en/127766
Sara MATTHIEU,sara.matthieu@europarl.europa.eu,BEL,Greens/EFA,org/6750,208722,https://www.europarl.europa.eu/meps/en/208722
Pär HOLMGREN,par.holmgren@europarl.europa.eu,SWE,Greens/EFA,org/6717,197398,https://www.europarl.europa.eu/meps/en/197398
Michael VON DER SCHULENBURG,michael.vonderschulenburg@europarl.europa.eu,DEU,NI,org/6850,256966,https://www.europarl.europa.eu/meps/en/256966
Raffaele TOPO,raffaele.topo@europarl.europa.eu,ITA,S&D,org/6675,257148,https://www.europarl.europa.eu/meps/en/257148
Bogdan Andrzej ZDROJEWSKI,bogdan.zdrojewski@europarl.europa.eu,POL,EPP,org/7979,124893,https://www.europarl.europa.eu/meps/en/124893
Claire FITA,claire.fita@europarl.europa.eu,FRA,S&D,org/6728,256906,https://www.europarl.europa.eu/meps/en/256906
Elsi KATAINEN,elsi.katainen@europarl.europa.eu,FIN,Renew,org/6725,191693,https://www.europarl.europa.eu/meps/en/191693
Karin KARLSBRO,karin.karlsbro@europarl.europa.eu,SWE,Renew,org/6715,197401,https://www.europarl.europa.eu/meps/en/197401
Asger CHRISTENSEN,asger.christensen@europarl.europa.eu,DNK,Renew,org/6663,197558,https://www.europarl.europa.eu/meps/en/197558
Lucia ANNUNZIATA,lucia.annunziata@europarl.europa.eu,ITA,S&D,org/6675,257123,https://www.europarl.europa.eu/meps/en/257123
Bernard GUETTA,bernard.guetta@europarl.europa.eu,FRA,Renew,org/7023,197543,https://www.europarl.europa.eu/meps/en/197543
Annamária VICSEK,annamaria.vicsek@europarl.europa.eu,HUN,PfE,NI,256859,https://www.europarl.europa.eu/meps/en/256859
Daniel FREUND,daniel.freund@europarl.europa.eu,DEU,Greens/EFA,org/6773,106936,https://www.europarl.europa.eu/meps/en/106936
Marko VEŠLIGAJ,marko.vesligaj@europarl.europa.eu,HRV,S&D,org/6735,260035,https://www.europarl.europa.eu/meps/en/260035
Victor NEGRESCU,victor.negrescu@europarl.europa.eu,ROU,S&D,org/6708,88882,https://www.europarl.europa.eu/meps/en/88882
Maria OHISALO,maria.ohisalo@europarl.europa.eu,FIN,Greens/EFA,org/6671,198076,https://www.europarl.europa.eu/meps/en/198076
Anna ZALEWSKA,anna.zalewska@europarl.europa.eu,POL,ECR,org/6702,197572,https://www.europarl.europa.eu/meps/en/197572
